Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2010;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;40,9;5,0;224,0;347;95,1;1,1
2010;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;49,1;5,0;320,0;359;98,4;1,0
2010;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;21,8;5,0;88,0;245;67,1;1,6
2010;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;37,0;0,0;379,7;7465;85,2;1,1
2010;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;31,2;2,0;222,7;333;91,2;1,1
2010;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;28,4;0,4;201,1;337;92,3;1,1
2010;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;1g;22,9;0,1;340,6;7880;90,0;1,1
2010;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;18,4;0,7;100,8;353;96,7;1,1
2010;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;22,7;1,2;169,2;322;88,2;1,0
2010;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;18,1;2,0;154,0;318;87,1;1,0
2010;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;15,2;1,1;69,1;360;98,6;1,0
2010;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;30,9;0,1;313,2;8513;97,2;1,0
2010;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;32,9;0,3;378,9;7329;83,7;1,3
2010;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;17,3;0,1;152,8;7973;91,0;1,1
2010;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;17,1;1,1;126,2;347;95,1;1,1
2010;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;21,9;0,0;313,0;8073;92,2;1,1
2010;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;15,3;1,1;110,4;352;96,4;1,1
2010;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;19,7;4,3;88,2;239;65,5;1,8
2010;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;23,0;1,3;124,1;312;85,5;0,7
